firstName,middleName,lastName,preferredName,dateOfBirth,gender,classNumber,sectionName,admissionDate,nationality,placeOfBirth,primaryLanguage,previousSchool,guardianName,guardianPhone,guardianEmail,guardianRelationship,guardianAddress,emergencyContactName,emergencyContactPhone,medicalNotes,learningSupportDetails,notes
Abdirahman,Hassan,Nur,,2019-03-03,Male,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Ahmed Jama,'+252617000001,guardian100.001@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Ibrahim Jama,'+252627000001,,,Grade 1 intake for academic year 2025-2026
Amina,Omar,Ibrahim,,2019-04-05,Female,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Ali Adan,'+252617000002,guardian100.002@example.com,Mother,"Mohamoud Haybe, Hargeisa",Jama Adan,'+252627000002,,,Grade 1 intake for academic year 2025-2026
Ali,Yusuf,Ahmed,,2019-05-07,Male,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Hassan Jama,'+252617000003,guardian100.003@example.com,Father,"Mohamed Mooge, Hargeisa",Mohamed Jama,'+252627000003,,,Grade 1 intake for academic year 2025-2026
Asma,Ali,Warsame,,2019-06-09,Female,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Ibrahim Adan,'+252617000004,guardian100.004@example.com,Mother,"Ahmed Dhagah, Hargeisa",Omar Adan,'+252627000004,,,Grade 1 intake for academic year 2025-2026
Hassan,Nur,Jama,,2019-07-11,Male,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Jama Jama,'+252617000005,guardian100.005@example.com,Father,"Gacan Libaax, Hargeisa",Yusuf Jama,'+252627000005,,,Grade 1 intake for academic year 2025-2026
Hafsa,Said,Ali,,2019-08-13,Female,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Mohamed Adan,'+252617000006,guardian100.006@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Abdullahi Adan,'+252627000006,,,Grade 1 intake for academic year 2025-2026
Ismail,Ahmed,Abdullahi,,2019-09-15,Male,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Omar Jama,'+252617000007,guardian100.007@example.com,Father,"Mohamoud Haybe, Hargeisa",Abdi Jama,'+252627000007,,,Grade 1 intake for academic year 2025-2026
Khadra,Mohamed,Mohamed,,2019-10-17,Female,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Yusuf Adan,'+252617000008,guardian100.008@example.com,Mother,"Mohamed Mooge, Hargeisa",Ahmed Adan,'+252627000008,,,Grade 1 intake for academic year 2025-2026
Mustafa,Osman,Hassan,,2019-11-19,Male,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Abdullahi Jama,'+252617000009,guardian100.009@example.com,Father,"Ahmed Dhagah, Hargeisa",Ali Jama,'+252627000009,,,Grade 1 intake for academic year 2025-2026
Sahra,Abdi,Adan,,2019-12-21,Female,1,,2025-08-10,Somali,Hargeisa,Somali,Home or Early Learning Centre,Abdi Adan,'+252617000010,guardian100.010@example.com,Mother,"Gacan Libaax, Hargeisa",Hassan Adan,'+252627000010,,,Grade 1 intake for academic year 2025-2026
