firstName,middleName,lastName,DOB,gender,guardianName,guardianPhone,guardianAddress,guardianEmail,guardianRelationship,classId,sectionId,sectionName,academicYearId,admissionDate,nationality,createParentPortal
Amina,Ali,Abdullahi,2017-01-01,Female,Abdullahi Abdullahi,+252610000201,House 0201 Hodan District Mogadishu,guardian0201@example.com,Mother,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ahmed,Ibrahim,Abdullahi,2016-02-02,Male,Halima Abdullahi,+252610000202,House 0202 Waberi District Mogadishu,guardian0202@example.com,Father,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hodan,Abdullahi,Abdullahi,2017-03-03,Female,Jama Abdullahi,+252610000203,House 0203 Hamar Weyne District Mogadishu,guardian0203@example.com,Mother,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Mohamed,Samatar,Abdullahi,2016-04-04,Male,Ruqiya Abdullahi,+252610000204,House 0204 Yaqshid District Mogadishu,guardian0204@example.com,Father,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Sahra,Elmi,Abdullahi,2017-05-05,Female,Ahmed Abdullahi,+252610000205,House 0205 Karaan District Mogadishu,guardian0205@example.com,Mother,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Abdi,Mohamed,Abdullahi,2016-06-06,Male,Deqa Abdullahi,+252610000206,House 0206 Wadajir District Mogadishu,guardian0206@example.com,Father,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Fadumo,Farah,Abdullahi,2017-07-07,Female,Adan Abdullahi,+252610000207,House 0207 Dharkenley District Mogadishu,guardian0207@example.com,Mother,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yusuf,Muse,Abdullahi,2016-08-08,Male,Ikram Abdullahi,+252610000208,House 0208 Shangani District Mogadishu,guardian0208@example.com,Father,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Maryan,Roble,Abdullahi,2017-09-09,Female,Ali Abdullahi,+252610000209,House 0209 Bondhere District Mogadishu,guardian0209@example.com,Mother,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hassan,Omar,Abdullahi,2016-10-10,Male,Yasmin Abdullahi,+252610000210,House 0210 Daynile District Mogadishu,guardian0210@example.com,Father,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Halima,Osman,Abdullahi,2017-11-11,Female,Muse Abdullahi,+252610000211,House 0211 Hodan District Mogadishu,guardian0211@example.com,Mother,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Omar,Bashir,Abdullahi,2016-12-12,Male,Khadra Abdullahi,+252610000212,House 0212 Waberi District Mogadishu,guardian0212@example.com,Father,6a76266063e146a4e41f686e,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
