firstName,middleName,lastName,DOB,gender,guardianName,guardianPhone,guardianAddress,guardianEmail,guardianRelationship,classId,sectionId,sectionName,academicYearId,admissionDate,nationality,createParentPortal
Halima,Osman,Hassan,2016-07-03,Female,Hassan Hassan,+252610000031,House 031 Hodan District Mogadishu,guardian031@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Omar,Warsame,Hassan,2016-08-04,Male,Nasteho Hassan,+252610000032,House 032 Hodan District Mogadishu,guardian032@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yasmin,Adan,Hassan,2016-09-05,Female,Ahmed Hassan,+252610000033,House 033 Hodan District Mogadishu,guardian033@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ali,Muse,Hassan,2016-10-06,Male,Halima Hassan,+252610000034,House 034 Hodan District Mogadishu,guardian034@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ikram,Abdi,Hassan,2016-11-07,Female,Mahad Hassan,+252610000035,House 035 Hodan District Mogadishu,guardian035@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ismail,Mohamed,Hassan,2016-12-08,Male,Sahra Hassan,+252610000036,House 036 Hodan District Mogadishu,guardian036@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Nasteho,Ismail,Hassan,2016-01-09,Female,Omar Hassan,+252610000037,House 037 Hodan District Mogadishu,guardian037@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ibrahim,Jama,Hassan,2016-02-10,Male,Yasmin Hassan,+252610000038,House 038 Hodan District Mogadishu,guardian038@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Deqa,Abdullahi,Hassan,2016-03-11,Female,Yusuf Hassan,+252610000039,House 039 Hodan District Mogadishu,guardian039@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Zakariya,Bashir,Hassan,2016-04-12,Male,Asha Hassan,+252610000040,House 040 Hodan District Mogadishu,guardian040@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Amina,Ali,Mohamed,2016-05-13,Female,Abdullahi Mohamed,+252610000041,House 041 Hodan District Mogadishu,guardian041@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ahmed,Omar,Mohamed,2016-06-14,Male,Fadumo Mohamed,+252610000042,House 042 Hodan District Mogadishu,guardian042@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hodan,Ahmed,Mohamed,2016-07-15,Female,Ibrahim Mohamed,+252610000043,House 043 Hodan District Mogadishu,guardian043@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Mohamed,Nur,Mohamed,2016-08-16,Male,Khadra Mohamed,+252610000044,House 044 Hodan District Mogadishu,guardian044@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Sahra,Farah,Mohamed,2016-09-17,Female,Ali Mohamed,+252610000045,House 045 Hodan District Mogadishu,guardian045@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Abdi,Mahad,Mohamed,2016-10-18,Male,Deqa Mohamed,+252610000046,House 046 Hodan District Mogadishu,guardian046@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Fadumo,Said,Mohamed,2016-11-19,Female,Mohamed Mohamed,+252610000047,House 047 Hodan District Mogadishu,guardian047@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yusuf,Hassan,Mohamed,2016-12-20,Male,Maryan Mohamed,+252610000048,House 048 Hodan District Mogadishu,guardian048@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Maryan,Yusuf,Mohamed,2016-01-21,Female,Ismail Mohamed,+252610000049,House 049 Hodan District Mogadishu,guardian049@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hassan,Ibrahim,Mohamed,2016-02-22,Male,Hawa Mohamed,+252610000050,House 050 Hodan District Mogadishu,guardian050@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Halima,Osman,Mohamed,2016-03-23,Female,Hassan Mohamed,+252610000051,House 051 Hodan District Mogadishu,guardian051@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Omar,Warsame,Mohamed,2016-04-24,Male,Nasteho Mohamed,+252610000052,House 052 Hodan District Mogadishu,guardian052@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yasmin,Adan,Mohamed,2016-05-25,Female,Ahmed Mohamed,+252610000053,House 053 Hodan District Mogadishu,guardian053@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ali,Muse,Mohamed,2016-06-26,Male,Halima Mohamed,+252610000054,House 054 Hodan District Mogadishu,guardian054@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ikram,Abdi,Mohamed,2016-07-27,Female,Mahad Mohamed,+252610000055,House 055 Hodan District Mogadishu,guardian055@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ismail,Mohamed,Mohamed,2016-08-28,Male,Sahra Mohamed,+252610000056,House 056 Hodan District Mogadishu,guardian056@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Nasteho,Ismail,Mohamed,2016-09-01,Female,Omar Mohamed,+252610000057,House 057 Hodan District Mogadishu,guardian057@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ibrahim,Jama,Mohamed,2016-10-02,Male,Yasmin Mohamed,+252610000058,House 058 Hodan District Mogadishu,guardian058@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Deqa,Abdullahi,Mohamed,2016-11-03,Female,Yusuf Mohamed,+252610000059,House 059 Hodan District Mogadishu,guardian059@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Zakariya,Bashir,Mohamed,2016-12-04,Male,Asha Mohamed,+252610000060,House 060 Hodan District Mogadishu,guardian060@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Amina,Ali,Yusuf,2016-01-05,Female,Abdullahi Yusuf,+252610000061,House 061 Hodan District Mogadishu,guardian061@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
